site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,30,forecast,LSTM,13,702,179,3.7112531661987305,4.640015635957353,0.8640036582946777,41,32,5.2
CO,30,forecast,LSTM,14,702,179,4.006848812103272,4.847939334691255,0.8515422940254211,34,32,4.6
CO,30,forecast,LSTM,15,702,179,3.5004541873931885,4.211515199458332,0.8879620432853699,48,32,5.8
CO,30,forecast,LSTM,16,702,179,3.145014524459839,3.880332108471347,0.90489000082016,58,32,6.7
CO,30,forecast,LSTM,17,702,179,3.851513147354126,4.714043701862689,0.8596295714378357,43,32,5.3
CO,30,forecast,LSTM,18,702,179,3.7209243774414062,4.474379827904684,0.8735396862030029,39,32,5.0
CO,30,forecast,LSTM,19,702,179,3.257321119308472,3.999106903509307,0.8989783525466919,44,32,5.5
CO,30,forecast,Hybrid,0,702,179,3.3140575885772705,4.20421577679495,0.8883500695228577,64,32,11.3
CO,30,forecast,Hybrid,1,702,179,3.2892799377441406,4.000795523691219,0.8988929986953735,59,32,10.5
CO,30,forecast,Hybrid,2,702,179,3.892347574234009,4.710188823567703,0.859859049320221,51,32,9.5
CO,30,forecast,Hybrid,3,702,179,3.904209613800049,4.768681980912861,0.8563567399978638,59,32,10.6
CO,30,forecast,Hybrid,4,702,179,3.5471577644348145,4.2677425955149015,0.8849504590034485,79,32,13.4
CO,30,forecast,Hybrid,5,702,179,3.7456347942352295,4.62846368533078,0.8646799325942993,54,32,9.9
CO,30,forecast,Hybrid,6,702,179,3.7992236614227295,4.434061356811247,0.8758084774017334,58,32,10.4
CO,30,forecast,Hybrid,7,702,179,3.632159948348999,4.4716563343938684,0.873693585395813,58,32,10.4
CO,30,forecast,Hybrid,8,702,179,3.339345693588257,4.087474643266988,0.8944644927978516,78,32,13.2
CO,30,forecast,Hybrid,9,702,179,3.617141008377075,4.430894260089243,0.875985860824585,61,32,10.9
CO,30,forecast,Hybrid,10,702,179,3.731496572494507,4.650563499188604,0.8633846044540405,53,32,9.9
CO,30,forecast,Hybrid,11,702,179,3.411025047302246,4.24338330579301,0.8862600922584534,59,32,10.7
CO,30,forecast,Hybrid,12,702,179,4.238735198974609,5.141361635991569,0.8330276012420654,83,32,14.7
CO,30,forecast,Hybrid,13,702,179,3.9989538192749023,4.94759351243926,0.8453761339187622,64,32,7363.4
CO,30,forecast,Hybrid,14,702,179,3.830431699752808,4.665569630605393,0.8625015616416931,58,32,11.3
CO,30,forecast,Hybrid,15,702,179,4.108298301696777,4.841841586307777,0.8519154787063599,56,32,10.3
CO,30,forecast,Hybrid,16,702,179,4.080687999725342,4.883767875285225,0.8493398427963257,70,32,12.7
CO,30,forecast,Hybrid,17,702,179,4.038002014160156,4.921749246595391,0.8469873070716858,59,32,10.7
CO,30,forecast,Hybrid,18,702,179,3.5501081943511963,4.403256095846058,0.8775281310081482,54,32,10.1
CO,30,forecast,Hybrid,19,702,179,3.8643198013305664,4.697926027185739,0.8605877757072449,68,32,12.0
CO,15,nowcast,Faiman,-1,5274,1319,1.908061146736145,2.675533355590515,0.9587284326553344,0,0,0.0
CO,15,nowcast,PG-ResMLP,0,5274,1319,1.8037331104278564,2.492075759152492,0.9641942381858826,25,79,2.7
CO,15,nowcast,PG-ResMLP,1,5274,1319,1.7934520244598389,2.4286449685702967,0.9659937620162964,26,79,2.8
CO,15,nowcast,PG-ResMLP,2,5274,1319,1.7513573169708252,2.361855220101138,0.96783846616745,126,79,11.8
CO,15,nowcast,PG-ResMLP,3,5274,1319,1.8187119960784912,2.4830111232697387,0.9644542336463928,24,79,2.6
CO,15,nowcast,PG-ResMLP,4,5274,1319,1.815303087234497,2.460725514803328,0.9650894403457642,25,79,2.8
CO,15,nowcast,PG-ResMLP,5,5274,1319,1.8053730726242063,2.395200949980981,0.9669238924980164,200,79,18.6
CO,15,nowcast,PG-ResMLP,6,5274,1319,1.8102585077285769,2.431510707341378,0.965913474559784,200,79,18.6
CO,15,nowcast,PG-ResMLP,7,5274,1319,1.7176156044006348,2.3168898490962966,0.9690513610839844,118,79,11.1
CO,15,nowcast,PG-ResMLP,8,5274,1319,1.7764452695846558,2.3792401660404514,0.9673632383346558,200,79,18.4
CO,15,nowcast,PG-ResMLP,9,5274,1319,1.7208349704742432,2.33749001240764,0.9684985876083374,200,79,18.4
