hidden_size,source,target,seed,transfer_mae,scratch_mae,gain
128,FL,OR,8,3.027446985244751,2.6674909591674805,-0.3599560260772705
128,FL,OR,9,3.2490100860595703,1.966975450515747,-1.2820346355438232
128,OR,CO,0,3.743802785873413,3.957862615585327,0.21405982971191406
128,OR,CO,1,3.558767795562744,2.9288229942321777,-0.6299448013305664
128,OR,CO,2,4.054714202880859,10.801661491394043,6.746947288513184
128,OR,CO,3,2.4176688194274902,2.7232534885406494,0.3055846691131592
128,OR,CO,4,3.0027379989624023,3.0365407466888428,0.03380274772644043
128,OR,CO,5,4.296320915222168,8.74876880645752,4.452447891235352
128,OR,CO,6,3.428124189376831,2.9322636127471924,-0.49586057662963867
128,OR,CO,7,3.1986196041107178,2.3520848751068115,-0.8465347290039062
128,OR,CO,8,4.121161460876465,8.153752326965332,4.032590866088867
128,OR,CO,9,2.1215035915374756,2.0854079723358154,-0.036095619201660156
128,OR,FL,0,2.1029295921325684,1.9370373487472534,-0.16589224338531494
128,OR,FL,1,2.366920232772827,7.658461093902588,5.291540861129761
128,OR,FL,2,2.2571828365325928,2.0109875202178955,-0.24619531631469727
128,OR,FL,3,2.529179096221924,2.888033628463745,0.3588545322418213
128,OR,FL,4,2.669382095336914,2.4969098567962646,-0.17247223854064941
128,OR,FL,5,3.094730854034424,3.7903897762298584,0.6956589221954346
128,OR,FL,6,2.5665276050567627,1.952789545059204,-0.6137380599975586
128,OR,FL,7,1.9653511047363281,2.167100191116333,0.20174908638000488
128,OR,FL,8,3.6064460277557373,4.515351295471191,0.9089052677154541
128,OR,FL,9,2.440239667892456,2.9121928215026855,0.4719531536102295
256,CO,FL,0,2.008918285369873,1.9817790985107422,-0.02713918685913086
256,CO,FL,1,4.456701278686523,5.459891319274902,1.003190040588379
256,CO,FL,2,2.1690797805786133,1.863847255706787,-0.30523252487182617
256,CO,FL,3,2.702660322189331,2.660290002822876,-0.04237031936645508
256,CO,FL,4,2.9815425872802734,2.529005765914917,-0.45253682136535645
256,CO,FL,5,2.3791661262512207,2.4992482662200928,0.12008213996887207
256,CO,FL,6,2.3127033710479736,1.908327341079712,-0.4043760299682617
256,CO,FL,7,2.220831871032715,2.4149696826934814,0.1941378116607666
256,CO,FL,8,4.3311357498168945,4.418285846710205,0.08715009689331055
256,CO,FL,9,2.1298160552978516,2.308069944381714,0.1782538890838623
256,CO,OR,0,2.1746785640716553,2.12988018989563,-0.04479837417602539
256,CO,OR,1,1.7075953483581543,1.6054805517196655,-0.10211479663848877
256,CO,OR,2,1.4838581085205078,1.4155688285827637,-0.06828927993774414
256,CO,OR,3,2.7986338138580322,2.6189124584198,-0.17972135543823242
256,CO,OR,4,2.3214914798736572,1.7628763914108276,-0.5586150884628296
256,CO,OR,5,1.675361156463623,1.6534714698791504,-0.021889686584472656
256,CO,OR,6,3.9329373836517334,5.269850254058838,1.3369128704071045
256,CO,OR,7,1.826084017753601,2.3956832885742188,0.5695992708206177
256,CO,OR,8,2.676323652267456,2.597541570663452,-0.0787820816040039
256,CO,OR,9,1.8611650466918945,2.4785733222961426,0.617408275604248
256,FL,CO,0,3.615276336669922,4.826249599456787,1.2109732627868652
256,FL,CO,1,4.034035682678223,3.8750524520874023,-0.1589832305908203
256,FL,CO,2,3.4047012329101562,2.3836848735809326,-1.0210163593292236
256,FL,CO,3,2.892632007598877,2.0668954849243164,-0.8257365226745605
256,FL,CO,4,3.8032851219177246,3.203873634338379,-0.5994114875793457
256,FL,CO,5,3.8932278156280518,9.42988395690918,5.536656141281128
256,FL,CO,6,3.9975736141204834,4.129854679107666,0.13228106498718262
256,FL,CO,7,4.346722602844238,2.271350622177124,-2.0753719806671143
256,FL,CO,8,3.5115439891815186,3.3625240325927734,-0.14901995658874512
256,FL,CO,9,2.7044947147369385,2.196812629699707,-0.5076820850372314
256,FL,OR,0,2.8966548442840576,2.379929542541504,-0.5167253017425537
256,FL,OR,1,1.998879075050354,1.6830530166625977,-0.31582605838775635
256,FL,OR,2,2.0132761001586914,1.701991081237793,-0.31128501892089844
256,FL,OR,3,2.6541261672973633,1.9504518508911133,-0.70367431640625
256,FL,OR,4,2.030076026916504,1.8572039604187012,-0.17287206649780273
256,FL,OR,5,1.7798268795013428,1.9340533018112183,0.1542264223098755
256,FL,OR,6,1.868579387664795,9.05718994140625,7.188610553741455
256,FL,OR,7,2.717033863067627,5.560678958892822,2.8436450958251953
256,FL,OR,8,2.8571879863739014,2.6426830291748047,-0.21450495719909668
256,FL,OR,9,2.3067917823791504,1.9159997701644897,-0.39079201221466064
256,OR,CO,0,4.998865127563477,3.6300899982452393,-1.3687751293182373
256,OR,CO,1,2.8033287525177,4.092067718505859,1.2887389659881592
256,OR,CO,2,5.339806079864502,2.3741347789764404,-2.9656713008880615
256,OR,CO,3,2.4672133922576904,2.113152027130127,-0.3540613651275635
256,OR,CO,4,3.4969630241394043,5.726298809051514,2.2293357849121094
256,OR,CO,5,4.338311195373535,13.164237022399902,8.825925827026367
256,OR,CO,6,4.1221466064453125,5.230763912200928,1.1086173057556152
256,OR,CO,7,3.487854242324829,2.2587265968322754,-1.2291276454925537
256,OR,CO,8,3.7630369663238525,8.622380256652832,4.8593432903289795
256,OR,CO,9,2.370819568634033,3.2025487422943115,0.8317291736602783
256,OR,FL,0,2.1512234210968018,1.9189457893371582,-0.23227763175964355
256,OR,FL,1,2.3033852577209473,6.281603813171387,3.9782185554504395
256,OR,FL,2,2.009575128555298,2.0606276988983154,0.05105257034301758
256,OR,FL,3,3.318629741668701,2.563600778579712,-0.7550289630889893
256,OR,FL,4,2.5018417835235596,2.64640212059021,0.1445603370666504
