seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
14,0.05,mondrian,"[0,200)",3516,9542,4.095477104187012,0.9899392160972542,8.190954208374023,1.3496578931808472
14,0.05,mondrian,"[200,500)",3607,12362,6.048618316650391,0.9898883675780618,12.097236633300781,1.3496578931808472
14,0.05,mondrian,"[500,inf)",2774,21192,3.609344482421875,0.9447904869762175,7.21868896484375,1.3496578931808472
14,0.05,mondrian,all,9897,43096,,0.9677232225728606,8.833362280957349,1.3496578931808472
15,0.1,global,all,9897,43096,3.2519454956054688,0.9415490996844255,6.5038909912109375,1.2715463638305664
15,0.1,mondrian,"[0,200)",3516,9542,2.7123465538024902,0.9806120310207503,5.4246931076049805,1.2715463638305664
15,0.1,mondrian,"[200,500)",3607,12362,3.976104736328125,0.963031871865394,7.95220947265625,1.2715463638305664
15,0.1,mondrian,"[500,inf)",2774,21192,3.139097213745117,0.9190732351830879,6.278194427490234,1.2715463638305664
15,0.1,mondrian,all,9897,43096,,0.9453081492481901,6.5694062428326605,1.2715463638305664
15,0.05,global,all,9897,43096,4.15069580078125,0.9734082049378132,8.3013916015625,1.2715463638305664
15,0.05,mondrian,"[0,200)",3516,9542,3.2220325469970703,0.9904632152588556,6.444065093994141,1.2715463638305664
15,0.05,mondrian,"[200,500)",3607,12362,5.028757095336914,0.9853583562530335,10.057514190673828,1.2715463638305664
15,0.05,mondrian,"[500,inf)",2774,21192,3.9311370849609375,0.9589939599849,7.862274169921875,1.2715463638305664
15,0.05,mondrian,all,9897,43096,,0.9735242249860776,8.17796486358331,1.2715463638305664
16,0.1,global,all,9897,43096,3.712371826171875,0.9564228698719138,7.42474365234375,1.346392273902893
16,0.1,mondrian,"[0,200)",3516,9542,3.4250755310058594,0.9820792286732342,6.850151062011719,1.346392273902893
16,0.1,mondrian,"[200,500)",3607,12362,4.617998123168945,0.9754894030092218,9.23599624633789,1.346392273902893
16,0.1,mondrian,"[500,inf)",2774,21192,2.7955970764160156,0.8841543978859947,5.591194152832031,1.346392273902893
16,0.1,mondrian,all,9897,43096,,0.9320354557267496,6.915447222892176,1.346392273902893
16,0.05,global,all,9897,43096,4.6920166015625,0.9800909597178392,9.384033203125,1.346392273902893
16,0.05,mondrian,"[0,200)",3516,9542,4.162565231323242,0.9919304129113393,8.325130462646484,1.346392273902893
16,0.05,mondrian,"[200,500)",3607,12362,5.780109405517578,0.9881896133311762,11.560218811035156,1.346392273902893
16,0.05,mondrian,"[500,inf)",2774,21192,3.649415969848633,0.9450264250660627,7.298831939697266,1.346392273902893
16,0.05,mondrian,all,9897,43096,,0.9677928346018192,8.748437587772736,1.346392273902893
17,0.1,global,all,9897,43096,3.3702335357666016,0.9478141822906998,6.740467071533203,1.2584559917449951
17,0.1,mondrian,"[0,200)",3516,9542,2.9243221282958984,0.9849088241458813,5.848644256591797,1.2584559917449951
17,0.1,mondrian,"[200,500)",3607,12362,4.0376739501953125,0.9655395567060346,8.075347900390625,1.2584559917449951
17,0.1,mondrian,"[500,inf)",2774,21192,3.134387969970703,0.9188372970932427,6.268775939941406,1.2584559917449951
17,0.1,mondrian,all,9897,43096,,0.9468628178949322,6.693964961023439,1.2584559917449951
17,0.05,global,all,9897,43096,4.210803985595703,0.9744523853721924,8.421607971191406,1.2584559917449951
17,0.05,mondrian,"[0,200)",3516,9542,3.4839835166931152,0.992978411234542,6.9679670333862305,1.2584559917449951
17,0.05,mondrian,"[200,500)",3607,12362,5.069664001464844,0.985439249312409,10.139328002929688,1.2584559917449951
17,0.05,mondrian,"[500,inf)",2774,21192,3.945310592651367,0.9599377123442808,7.890621185302734,1.2584559917449951
17,0.05,mondrian,all,9897,43096,,0.9745684054204566,8.331370854922122,1.2584559917449951
18,0.1,global,all,9897,43096,3.491260528564453,0.9483014664934101,6.982521057128906,1.3153897523880005
18,0.1,mondrian,"[0,200)",3516,9542,3.094019889831543,0.9840704254873193,6.188039779663086,1.3153897523880005
18,0.1,mondrian,"[200,500)",3607,12362,4.26719856262207,0.9690179582591814,8.53439712524414,1.3153897523880005
18,0.1,mondrian,"[500,inf)",2774,21192,3.0196075439453125,0.8993959984899962,6.039215087890625,1.3153897523880005
18,0.1,mondrian,all,9897,43096,,0.938114906255801,6.787904654315745,1.3153897523880005
18,0.05,global,all,9897,43096,4.3491363525390625,0.9738722851308707,8.698272705078125,1.3153897523880005
18,0.05,mondrian,"[0,200)",3516,9542,3.665506362915039,0.9920352127436596,7.331012725830078,1.3153897523880005
18,0.05,mondrian,"[200,500)",3607,12362,5.445850372314453,0.9872188966186701,10.891700744628906,1.3153897523880005
18,0.05,mondrian,"[500,inf)",2774,21192,3.7698326110839844,0.9480464326160816,7.539665222167969,1.3153897523880005
18,0.05,mondrian,all,9897,43096,,0.9690226471134212,8.454991493947391,1.3153897523880005
19,0.1,global,all,9897,43096,3.387918472290039,0.9473965101169483,6.775836944580078,1.2803477048873901
19,0.1,mondrian,"[0,200)",3516,9542,3.029268503189087,0.9872144204569273,6.058537006378174,1.2803477048873901
19,0.1,mondrian,"[200,500)",3607,12362,4.173820495605469,0.970554926387316,8.347640991210938,1.2803477048873901
19,0.1,mondrian,"[500,inf)",2774,21192,3.1332550048828125,0.9139769724424311,6.266510009765625,1.2803477048873901
19,0.1,mondrian,all,9897,43096,,0.9464219417115277,6.817430345627512,1.2803477048873901
19,0.05,global,all,9897,43096,4.315481185913086,0.9757286059031001,8.630962371826172,1.2803477048873901
19,0.05,mondrian,"[0,200)",3516,9542,3.5569510459899902,0.992978411234542,7.1139020919799805,1.2803477048873901
19,0.05,mondrian,"[200,500)",3607,12362,5.212493896484375,0.986409966024915,10.42498779296875,1.2803477048873901
19,0.05,mondrian,"[500,inf)",2774,21192,3.9882240295410156,0.9579558323895809,7.976448059082031,1.2803477048873901
19,0.05,mondrian,all,9897,43096,,0.9738722851308707,8.487828107629921,1.2803477048873901
