resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
30,nowcast,LSTM,1,6,0,5389,4706,1.4164650440216064,1.7946745294244697,0.9765201807022095,159,80,42.3
30,nowcast,LSTM,2,6,0,5389,4706,1.260327696800232,1.6619294872727013,0.9798651337623596,131,80,37.5
30,nowcast,LSTM,3,6,0,5389,4706,1.3140257596969604,1.7137782234077108,0.9785892367362976,131,80,39.1
30,nowcast,LSTM,4,6,0,5389,4706,1.3322176933288574,1.7238588871081482,0.9783365726470947,132,80,39.9
30,nowcast,LSTM,5,6,0,5389,4706,1.3462936878204346,1.726727438940994,0.9782644510269165,161,80,46.1
30,nowcast,LSTM,6,6,0,5389,4706,1.4668221473693848,1.8529309073020255,0.9749711155891418,134,80,44.6
30,nowcast,LSTM,7,6,0,5389,4706,1.3495025634765625,1.7330217322843076,0.9781056642532349,163,80,49.1
30,nowcast,LSTM,8,6,0,5389,4706,1.2588691711425781,1.6324631166599903,0.9805728197097778,196,80,70.8
30,nowcast,LSTM,9,6,0,5389,4706,1.335400104522705,1.7258116871820801,0.9782874584197998,106,80,38.0
30,forecast,PG-ResMLP,0,0,30,6827,5946,2.513644218444824,3.341205805505134,0.9211336970329285,22,102,3.8
30,forecast,PG-ResMLP,1,0,30,6827,5946,2.5514750480651855,3.3803374858961477,0.9192755222320557,22,102,3.5
30,forecast,PG-ResMLP,2,0,30,6827,5946,2.5309576988220215,3.350840386268867,0.9206781983375549,22,102,3.5
30,forecast,PG-ResMLP,3,0,30,6827,5946,2.8015544414520264,3.673064862898632,0.9046891331672668,22,102,3.5
30,forecast,PG-ResMLP,4,0,30,6827,5946,2.4601941108703613,3.2788819987245743,0.9240484237670898,22,102,3.4
30,forecast,PG-ResMLP,5,0,30,6827,5946,2.4759933948516846,3.3049753483070763,0.9228347539901733,22,102,3.5
30,forecast,PG-ResMLP,6,0,30,6827,5946,2.5576202869415283,3.3955628613059967,0.9185466766357422,22,102,3.4
30,forecast,PG-ResMLP,7,0,30,6827,5946,2.711017370223999,3.597970756178668,0.9085464477539062,21,102,3.3
30,forecast,PG-ResMLP,8,0,30,6827,5946,2.5744094848632812,3.4194583807491767,0.9173962473869324,22,102,3.4
30,forecast,PG-ResMLP,9,0,30,6827,5946,2.5432441234588623,3.392007993976602,0.9187171459197998,22,102,6.4
30,forecast,LSTM,0,6,0,5035,4409,1.9686663150787354,2.6608444869606833,0.9485632181167603,71,75,22.7
30,forecast,LSTM,1,6,0,5035,4409,1.8698042631149292,2.57401720569139,0.9518653750419617,71,75,24.9
30,forecast,LSTM,2,6,0,5035,4409,2.025649309158325,2.7195591215849486,0.9462682008743286,66,75,21.9
30,forecast,LSTM,3,6,0,5035,4409,2.2392818927764893,2.8947455652461422,0.9391226768493652,64,75,21.9
30,forecast,LSTM,4,6,0,5035,4409,1.8260332345962524,2.5310698080093244,0.9534582495689392,93,75,29.7
30,forecast,LSTM,5,6,0,5035,4409,2.008453130722046,2.67979711191634,0.9478278756141663,99,75,32.0
30,forecast,LSTM,6,6,0,5035,4409,1.9606060981750488,2.64759250540496,0.9490743279457092,71,75,23.7
30,forecast,LSTM,7,6,0,5035,4409,1.9207853078842163,2.6122659897834666,0.9504242539405823,85,75,25.2
30,forecast,LSTM,8,6,0,5035,4409,2.262699604034424,2.9214185062332327,0.9379956722259521,68,75,22.6
30,forecast,LSTM,9,6,0,5035,4409,2.209510326385498,2.8656394167738153,0.9403407573699951,68,75,22.3
30,forecast,Hybrid,0,6,0,5035,4409,1.767511010169983,2.5361471017839654,0.9532713294029236,77,75,61.4
30,forecast,Hybrid,1,6,0,5035,4409,2.1515800952911377,2.8739202379110163,0.9399954676628113,50,75,40.6
30,forecast,Hybrid,2,6,0,5035,4409,1.7879151105880737,2.57954090425077,0.9516586065292358,93,75,97.7
30,forecast,Hybrid,3,6,0,5035,4409,1.7849479913711548,2.5565367372299095,0.9525169134140015,57,75,55.0
30,forecast,Hybrid,4,6,0,5035,4409,1.8740555047988892,2.649577927715628,0.9489979147911072,71,75,74.5
