seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
18,0.1,global,all,9897,43096,3.7545700073242188,0.9559123816595507,7.5091400146484375,1.3734866380691528
18,0.1,mondrian,"[0,200)",3516,9542,3.4938583374023438,0.9788304338713059,6.9877166748046875,1.3734866380691528
18,0.1,mondrian,"[200,500)",3607,12362,4.674123764038086,0.9737097557029607,9.348247528076172,1.3734866380691528
18,0.1,mondrian,"[500,inf)",2774,21192,2.768878936767578,0.8776896942242356,5.537757873535156,1.3734866380691528
18,0.1,mondrian,all,9897,43096,,0.9276266938927047,6.951828320703105,1.3734866380691528
18,0.05,global,all,9897,43096,4.75462532043457,0.9802765917950622,9.50925064086914,1.3734866380691528
18,0.05,mondrian,"[0,200)",3516,9542,4.33698844909668,0.9911968140850974,8.67397689819336,1.3734866380691528
18,0.05,mondrian,"[200,500)",3607,12362,5.744720458984375,0.9872188966186701,11.48944091796875,1.3734866380691528
18,0.05,mondrian,"[500,inf)",2774,21192,3.5528602600097656,0.9416761041902605,7.105720520019531,1.3734866380691528
18,0.05,mondrian,all,9897,43096,,0.9657044737330611,8.710413621931146,1.3734866380691528
19,0.1,global,all,9897,43096,3.51865291595459,0.9521765361054391,7.03730583190918,1.2938597202301025
19,0.1,mondrian,"[0,200)",3516,9542,3.086679458618164,0.9863760217983651,6.173358917236328,1.2938597202301025
19,0.1,mondrian,"[200,500)",3607,12362,4.319202423095703,0.9722536806342016,8.638404846191406,1.2938597202301025
19,0.1,mondrian,"[500,inf)",2774,21192,3.1033172607421875,0.9136938467346168,6.206634521484375,1.2938597202301025
19,0.1,mondrian,all,9897,43096,,0.9465843697790979,6.896815256083722,1.2938597202301025
19,0.05,global,all,9897,43096,4.438606262207031,0.9776081306849823,8.877212524414062,1.2938597202301025
19,0.05,mondrian,"[0,200)",3516,9542,3.789804458618164,0.992978411234542,7.579608917236328,1.2938597202301025
19,0.05,mondrian,"[200,500)",3607,12362,5.476627349853516,0.9872188966186701,10.953254699707031,1.2938597202301025
19,0.05,mondrian,"[500,inf)",2774,21192,3.8536949157714844,0.9540392600981502,7.707389831542969,1.2938597202301025
19,0.05,mondrian,all,9897,43096,,0.9721783924262113,8.610167259052023,1.2938597202301025
