resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
10,forecast,LSTM,3,6,0,20085,17478,1.4392019510269165,1.8867412431533166,0.9749988317489624,79,256,55.1
10,forecast,LSTM,4,6,0,20085,17478,1.4227187633514404,1.866858034315434,0.9755229949951172,101,256,69.8
10,forecast,LSTM,5,6,0,20085,17478,1.4613615274429321,1.9079152947303097,0.974434494972229,69,256,48.2
10,forecast,LSTM,6,6,0,20085,17478,1.4424285888671875,1.8767155110838847,0.975263774394989,75,256,52.5
10,forecast,LSTM,7,6,0,20085,17478,1.4510743618011475,1.8971235963919648,0.9747229218482971,69,256,48.6
10,forecast,LSTM,8,6,0,20085,17478,1.4729623794555664,1.9397712438939019,0.973573625087738,71,256,50.1
10,forecast,LSTM,9,6,0,20085,17478,1.4573204517364502,1.8995444755598978,0.9746583700180054,83,256,58.6
10,forecast,LSTM,10,6,0,20085,17478,1.4197890758514404,1.8684693728604451,0.9754806756973267,72,256,51.7
10,forecast,LSTM,11,6,0,20085,17478,1.4069242477416992,1.8599616014967508,0.9757034778594971,88,256,63.2
10,forecast,LSTM,12,6,0,20085,17478,1.4026087522506714,1.8527497295955428,0.9758915305137634,92,256,65.4
10,forecast,LSTM,13,6,0,20085,17478,1.4288419485092163,1.8613115371973679,0.97566819190979,98,256,69.6
10,forecast,LSTM,14,6,0,20085,17478,1.4448989629745483,1.8876091098196148,0.9749758243560791,92,256,65.7
10,forecast,LSTM,15,6,0,20085,17478,1.4214897155761719,1.8767935122324948,0.9752617478370667,101,256,72.1
10,forecast,LSTM,16,6,0,20085,17478,1.4863382577896118,1.9261369666837453,0.973943829536438,70,256,50.6
10,forecast,LSTM,17,6,0,20085,17478,1.4169501066207886,1.8634409965957008,0.9756125211715698,83,256,59.9
10,forecast,LSTM,18,6,0,20085,17478,1.4284656047821045,1.886679575890543,0.9750004410743713,86,256,62.3
10,forecast,LSTM,19,6,0,20085,17478,1.4601848125457764,1.9050728962685513,0.9745106101036072,78,256,56.7
10,forecast,Hybrid,0,6,0,20085,17478,1.833561658859253,2.470225508893635,0.9571442604064941,34,256,84.4
10,forecast,Hybrid,1,6,0,20085,17478,1.4315400123596191,1.9092679132627952,0.9743982553482056,50,256,120.9
10,forecast,Hybrid,2,6,0,20085,17478,1.5676908493041992,2.0418015130594083,0.9707205295562744,38,256,92.0
10,forecast,Hybrid,3,6,0,20085,17478,1.4537328481674194,1.9204838998284057,0.9740965366363525,56,256,133.7
10,forecast,Hybrid,4,6,0,20085,17478,1.5238746404647827,2.0490030190411614,0.970513641834259,38,256,91.8
10,forecast,Hybrid,5,6,0,20085,17478,1.4799712896347046,1.9276579404014789,0.9739026427268982,54,256,129.3
